longitude,latitude,article_id
106.6457262,10.7648312,268599.0
106.6248902,10.7833504,268598.0
,,268597.0
106.6639667,10.7956238,268596.0
106.6056798,10.7595344,268588.0
106.6769266,10.795733,268583.0
,,268579.0
106.6409672,10.7758961,268575.0
106.6156384,10.829436,268574.0
,,268572.0
106.6836942,10.7493297,268571.0
106.6324795,10.803928,268570.0
106.7421114,10.7972021,268569.0
106.6895596,10.8203602,268567.0
106.6960027,10.7926943,268566.0
106.7036748,10.8216008,268564.0
106.6800435,10.8035674,268563.0
106.6917517,10.8180183,268562.0
106.7214559,10.7978383,268550.0
106.6694581,10.8307717,268549.0
106.6222404,10.7615882,268544.0
106.6321471,10.7992303,268543.0
,,268541.0
106.5702661,10.8647721,268535.0
106.8328969,10.8938845,268527.0
106.8328969,10.8938845,268526.0
106.6201453,10.7634247,268510.0
,,268508.0
,,268506.0
106.7315547,10.7862056,268488.0
106.7315547,10.7862056,268486.0
106.6652331,10.8516308,268477.0
,,268476.0
,,268474.0
106.7694267,10.7794419,268469.0
106.6156384,10.829436,268468.0
106.648631,10.783532,268466.0
,,268464.0
,,268463.0
106.6156384,10.829436,268462.0
,,268460.0
106.6461488,10.7721063,268458.0
106.6381048,10.787108,268456.0
106.57635314823773,10.878345,268442.0
106.6068788,10.7667344,268441.0
,,268440.0
106.6236068,10.7401352,268436.0
,,268432.0
106.6890342,10.8225049,268423.0
106.6890342,10.8225049,268413.0
106.8098996,10.8189363,268408.0
,,268407.0
,,268406.0
,,268403.0
106.626718,10.7669112,268399.0
,,268397.0
106.658344,10.8364264,268391.0
106.776821,10.7687649,268387.0
,,268385.0
106.8170629,10.8791728,268384.0
106.6068788,10.7667344,268378.0
106.6652331,10.8516308,268372.0
106.6068788,10.7667344,268368.0
106.6068788,10.7667344,268367.0
106.6068788,10.7667344,268366.0
,,268360.0
106.773415,10.8496627,268356.0
106.773415,10.8496627,268353.0
,,268351.0
,,268349.0
,,268344.0
106.7214559,10.7978383,268339.0
106.7132906,10.8092947,268334.0
,,268332.0
106.7471122,10.8483113,268328.0
,,268325.0
106.6941693,10.7827644,268323.0
106.7567252,10.836088,268321.0
,,268315.0
106.79265,10.8610436,268309.0
106.658344,10.8364264,268307.0
106.6117229,10.8001535,268306.0
106.6907525,10.7657376,268305.0
106.6763871,10.8166252,268302.0
,,268300.0
106.6860324,10.8731713,268299.0
106.6960027,10.7926943,268296.0
106.6983326,10.7961525,268295.0
106.6461488,10.7721063,268285.0
106.7545009,10.8076573,268275.0
,,268274.0
106.6942034,10.8202678,268269.0
106.7254848,10.8455724,268267.0
106.658344,10.8364264,268258.0
,,268255.0
,,268254.0
106.6055133,10.7396064,268249.0
106.6071343,10.728024,268244.0
,,268238.0
106.7741562,10.8337836,268226.0
106.79265,10.8610436,268221.0
106.6933915,10.8247157,268220.0
106.7879284,10.8677614,268219.0
,,268217.0
106.7677143,10.8281731,268208.0
106.7716521,10.8464061,268203.0
106.6409672,10.7758961,268201.0
,,268200.0
,,268193.0
106.7618557,10.8447022,268191.0
106.6396031,10.8351122,268190.0
106.6362851,10.8373485,268187.0
,,268186.0
,,268185.0
106.6726095,10.8719549,268184.0
106.6237735,10.812483,268173.0
106.6419327,10.8284499,268157.0
106.685244,10.8175831,268155.0
106.6277915,10.6503673,268152.0
106.7098827,10.8012395,268150.0
106.694022,10.820624,268149.0
106.6788609,10.8145634,268147.0
106.658344,10.8364264,268145.0
106.658344,10.8364264,268144.0
106.79265,10.8610436,268142.0
,,268139.0
106.6796794,10.7867835,268137.0
106.7663519,10.8571738,268136.0
106.7741562,10.8337836,268135.0
106.6821907,10.7722958,268132.0
,,268120.0
,,268119.0
106.6901783,10.8105818,268116.0
,,268115.0
106.6763871,10.8166252,268113.0
106.6856488,10.80905,268110.0
,,268108.0
,,268102.0
,,268095.0
,,268093.0
106.6642851,10.8537373,268092.0
106.6694581,10.8307717,268091.0
106.6890342,10.8225049,268089.0
106.6068788,10.7667344,268086.0
106.6343418,10.7960859,268085.0
,,268078.0
106.6786828,10.7663256,268076.0
106.6424777,10.786296,268074.0
106.6424777,10.786296,268072.0
,,268067.0
,,268066.0
106.6703005,10.8498325,268065.0
106.6703005,10.8498325,268064.0
,,268062.0
106.6846521,10.7892295,268061.0
106.6476765,10.7752443,268060.0
106.6846521,10.7892295,268059.0
106.6297821,10.7881603,268056.0
106.6458991,10.8363614,268055.0
106.7750575,10.7961278,268049.0
106.7677143,10.8281731,268044.0
,,268025.0
106.6984046,10.8066221,268024.0
106.776821,10.7687649,268021.0
