longitude,latitude,article_id
106.7427385,10.8713194,284469.0
106.7663383,10.8456138,284468.0
106.6141073,10.7728443,284467.0
106.6382736,10.821385,284466.0
106.6382736,10.821385,284465.0
106.6028096,10.7178596,284463.0
106.7849246,10.7800229,284462.0
106.7849246,10.7800229,284461.0
106.7849246,10.7800229,284459.0
106.624253,10.7790986,284453.0
106.7750575,10.7961278,284452.0
106.5889692,10.8809639,284451.0
106.6220916,10.7380841,284445.0
106.6129496,10.7256209,284442.0
106.5418044,10.7396736,284431.0
106.6669098,10.7857536,284428.0
106.7535862,10.8267844,284425.0
106.7036748,10.8216008,284420.0
,,284406.0
106.6146723,10.8549056,284404.0
106.6318809,10.8171922,284402.0
106.7618557,10.8447022,284401.0
106.624253,10.7790986,284399.0
106.7618557,10.8447022,284398.0
,,284397.0
106.6652854,10.7667623,284395.0
106.658344,10.8364264,284393.0
106.6838399,10.8287546,284392.0
,,284389.0
106.6403111,10.7895616,284386.0
106.6403111,10.7895616,284385.0
106.7182479,10.7369433,284384.0
106.6360065,10.8416455,284383.0
,,284382.0
,,284381.0
106.6056798,10.7595344,284377.0
106.7258947,10.7314492,284376.0
106.6769266,10.795733,284373.0
106.7764557,10.7886568,284369.0
,,284368.0
,,284367.0
106.6034316,10.8077196,284366.0
106.6639667,10.7956238,284364.0
,,284363.0
106.6514144,10.8592729,284360.0
,,284358.0
,,284353.0
,,284328.0
,,284327.0
,,284324.0
106.6244037,10.8116821,284322.0
106.665056,10.8377959,284321.0
106.6694581,10.8307717,284320.0
106.648631,10.783532,284319.0
,,284308.0
106.6068788,10.7667344,284304.0
106.6838399,10.8287546,284303.0
106.6652331,10.8516308,284302.0
,,284301.0
106.7662994,10.8505281,284300.0
,,284299.0
106.7810147,10.8446911,284298.0
106.6290671,10.8363523,284297.0
106.6231544,10.8678527,284295.0
106.6071343,10.728024,284294.0
106.6071343,10.728024,284293.0
106.6560487,10.8532806,284291.0
106.6878297,10.8150491,284287.0
106.608441,10.8511027,284286.0
,,284279.0
106.6588751,10.7983053,284277.0
106.6324795,10.803928,284271.0
106.6462384,10.8005079,284270.0
106.6462384,10.8005079,284269.0
,,284268.0
,,284267.0
106.7878724,10.8581456,284259.0
106.7750575,10.7961278,284258.0
106.7750575,10.7961278,284257.0
106.7750575,10.7961278,284256.0
106.7750575,10.7961278,284254.0
106.7849246,10.7800229,284249.0
106.5956394,10.7693609,284248.0
106.665056,10.8377959,284247.0
106.665056,10.8377959,284246.0
106.665056,10.8377959,284245.0
106.692635,10.8246101,284244.0
106.7382355,10.8395982,284238.0
106.6482618,10.7750421,284237.0
106.6642851,10.8537373,284229.0
106.7090062,10.80306,284226.0
,,284225.0
106.6177763,10.7261103,284224.0
,,284206.0
106.6482618,10.7750421,284204.0
106.6652331,10.8516308,284201.0
106.6716136,10.7918311,284198.0
,,284197.0
,,284196.0
106.6434652,10.7865347,284191.0
106.6434652,10.7865347,284190.0
106.7316714,10.8430426,284188.0
106.7086111,10.7101344,284187.0
106.6360065,10.8416455,284177.0
,,284172.0
106.6867379,10.8222058,284169.0
106.6867379,10.8222058,284168.0
,,284158.0
,,284157.0
106.6694581,10.8307717,284155.0
106.6028096,10.7178596,284154.0
106.6598368,10.842117,284149.0
,,284147.0
,,284146.0
106.6324795,10.803928,284145.0
106.7258947,10.7314492,284139.0
,,284132.0
106.6403111,10.7895616,284130.0
,,284127.0
106.7130531,10.8439581,284126.0
106.7032098,10.8425709,284123.0
106.7703018,10.8594328,284122.0
106.8596391,10.8087936,284119.0
,,284118.0
,,284117.0
106.6434652,10.7865347,284116.0
106.6799899,10.7929032,284115.0
,,284114.0
,,284113.0
,,284112.0
106.6794982,10.7577797,284110.0
106.7086111,10.7101344,284107.0
106.7440274,10.8010777,284089.0
106.6396806,10.7915388,284088.0
,,284074.0
106.6068788,10.7667344,284071.0
106.7133028,10.8182378,284070.0
106.7281634,10.8679065,284069.0
,,284068.0
106.6960027,10.7926943,284066.0
106.6269418,10.7847065,284063.0
,,284061.0
,,284060.0
106.6129496,10.7256209,284059.0
106.5999038,10.8232913,284055.0
106.4847029,10.9689829,284051.0
106.6320491,10.7958848,284049.0
106.7611736,10.8600716,284043.0
106.6321471,10.7992303,284042.0
106.7306505,10.8288982,284041.0
106.6254902,10.8267194,284033.0
106.6577416,10.7625272,284029.0
